datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/01/2024 02:45 - 01/01/2024 03:00,-1926,-732,2495,0,2636,2141.8,1878,-1508.3,1081.33,1282,0,2547.92,1846,1456
01/01/2024 03:00 - 01/01/2024 03:15,-2324.15,-1214,2438,0,2636,1980,1023,-2128.48,730.56,1282,0,2325.39,1846,1457
01/01/2024 03:15 - 01/01/2024 03:30,-2324.15,-1214,2438,0,2636,1980,1023,-2128.48,730.56,1282,0,2325.39,1846,1457
01/01/2024 03:30 - 01/01/2024 03:45,-2324.15,-1214,2438,0,2636,1980,1023,-2128.48,730.56,1282,0,2325.39,1846,1457
01/01/2024 03:45 - 01/01/2024 04:00,-2324.15,-1214,2438,0,2636,1980,1023,-2128.48,730.56,1282,0,2325.39,1846,1457
01/01/2024 04:00 - 01/01/2024 04:15,-1719.95,-1899.8,2380,0,2590,1873.7,1394,-2244.73,512.88,1282,0,2529.63,1846,1453
01/01/2024 04:15 - 01/01/2024 04:30,-1719.95,-1899.8,2380,0,2590,1873.7,1394,-2244.73,512.88,1282,0,2529.63,1846,1453
01/01/2024 04:30 - 01/01/2024 04:45,-1719.95,-1899.8,2380,0,2590,1873.7,1394,-2244.73,512.88,1282,0,2529.63,1846,1453
01/01/2024 04:45 - 01/01/2024 05:00,-1719.95,-1899.8,2380,0,2590,1873.7,1394,-2244.73,512.88,1282,0,2529.63,1846,1453
01/01/2024 05:00 - 01/01/2024 05:15,-1469.15,-2899.65,2380,0,2590,1994.4,1224,-2188.36,400.64,1282,0,2519.56,1846,1432
01/01/2024 05:15 - 01/01/2024 05:30,-1469.15,-2899.65,2380,0,2590,1994.4,1224,-2188.36,400.64,1282,0,2519.56,1846,1432
01/01/2024 05:30 - 01/01/2024 05:45,-1469.15,-2899.65,2380,0,2590,1994.4,1224,-2188.36,400.64,1282,0,2519.56,1846,1432
01/01/2024 05:45 - 01/01/2024 06:00,-1469.15,-2899.65,2380,0,2590,1994.4,1224,-2188.36,400.64,1282,0,2519.56,1846,1432
01/01/2024 06:00 - 01/01/2024 06:15,-3170.3,-548.4,2322,0,2600,1852.6,1167,-2357.72,630.16,1282,0,2432.25,1846,520
01/01/2024 06:15 - 01/01/2024 06:30,-3170.3,-548.4,2322,0,2600,1852.6,1167,-2357.72,630.16,1282,0,2432.25,1846,520
01/01/2024 06:30 - 01/01/2024 06:45,-3170.3,-548.4,2322,0,2600,1852.6,1167,-2357.72,630.16,1282,0,2432.25,1846,520
01/01/2024 06:45 - 01/01/2024 07:00,-3170.3,-548.4,2322,0,2600,1852.6,1167,-2357.72,630.16,1282,0,2432.25,1846,520
01/01/2024 07:00 - 01/01/2024 07:15,-2642.9,-1295,2319.1,0,2600,1662.1,1600,-2584.63,400.22,1282,0,2480.39,1846,618
01/01/2024 07:15 - 01/01/2024 07:30,-2642.9,-1295,2319.1,0,2600,1662.1,1600,-2584.63,400.22,1282,0,2480.39,1846,618
01/01/2024 07:30 - 01/01/2024 07:45,-2642.9,-1295,2319.1,0,2600,1662.1,1600,-2584.63,400.22,1282,0,2480.39,1846,618
01/01/2024 07:45 - 01/01/2024 08:00,-2642.9,-1295,2319.1,0,2600,1662.1,1600,-2584.63,400.22,1282,0,2480.39,1846,618
01/01/2024 08:00 - 01/01/2024 08:15,-1992.65,-1441.8,2092,0,2600,1455.3,2027,-1953.51,534.61,1282,0,2668.66,1846,851
01/01/2024 08:15 - 01/01/2024 08:30,-1992.65,-1441.8,2092,0,2600,1455.3,2027,-1953.51,534.61,1282,0,2668.66,1846,851
01/01/2024 08:30 - 01/01/2024 08:45,-1992.65,-1441.8,2092,0,2600,1455.3,2027,-1953.51,534.61,1282,0,2668.66,1846,851
01/01/2024 08:45 - 01/01/2024 09:00,-1992.65,-1441.8,2092,0,2600,1455.3,2027,-1953.51,534.61,1282,0,2668.66,1846,851
01/01/2024 09:00 - 01/01/2024 09:15,-1020.5,-110.9,908,0,2913,1388,2622,-1385.73,280.72,1282,0,2685,1846,1141
